	price	area	district	condominium	iptu	rooms	box
192	1850000.0	190.46	Bela Vista	2000.0	3500.0	3	4
193	235000.0	48.0	Auxiliadora	185.0	540.0	2	1
194	890000.0	107.24	Bela Vista	890.0	1100.0	3	2
195	435000.0	73.267	Auxiliadora	531.0	550.0	2	1
196	799000.0	87.8	Bela Vista	1000.0	1200.0	2	2
197	285000.0	56.23	Mont Serrat	130.0	426.0	1	1
198	1771400.0	157.44	Bela Vista	1000.0	3600.0	2	3
199	2200000.0	192.2	Bela Vista	1000.0	5000.0	2	4
200	350000.0	68.39	Auxiliadora	250.0	500.0	3	1
201	650000.0	99.86	Auxiliadora	626.0	1920.0	3	1
202	508000.0	88.0	Bela Vista	380.0	540.0	1	1
203	395000.0	72.09	Auxiliadora	418.0	1060.0	2	1
204	399000.0	72.75	Mont Serrat	600.0	800.0	2	1
205	1303300.0	99.04	Bela Vista	500.0	2000.0	2	3
206	185000.0	37.5	Auxiliadora	293.0	280.0	1	1
207	450000.0	56.89	Bela Vista	400.0	1100.0	1	1
208	950000.0	105.61	Bela Vista	800.0	1800.0	3	2
209	3114542.0	257.6	Bela Vista	1500.0	5000.0	4	4
210	890000.0	186.13	Mont Serrat	1027.0	3000.0	3	2
211	599000.0	105.41	Auxiliadora	1200.0	2300.0	3	1
212	1250000.0	167.0	Bela Vista	1250.0	3500.0	3	3
213	285000.0	50.96	Auxiliadora	540.0	550.0	2	1
214	1696000.0	163.56	Auxiliadora	1400.0	2100.0	3	3
215	585000.0	80.0	Bela Vista	750.0	1010.0	2	1
216	574000.0	47.78	Auxiliadora	430.0	1000.0	1	1
217	950000.0	113.76	Mont Serrat	1000.0	1500.0	3	2
218	200000.0	51.0	Auxiliadora	300.0	920.0	2	1
219	369000.0	70.0	Auxiliadora	190.0	530.0	2	1
220	905000.0	102.05	Auxiliadora	1150.0	2270.0	3	2
221	1450000.0	167.1	Auxiliadora	2000.0	2200.0	3	3
222	180000.0	39.0	Mont Serrat	150.0	800.0	1	1
223	660000.0	117.42	Auxiliadora	1400.0	2100.0	3	1
224	1060000.0	104.83	Bela Vista	800.0	1300.0	3	2
225	430000.0	94.0	Mont Serrat	250.0	894.0	2	1
