	id	price	area	district	city	type	segment	condominium	iptu	rooms	box	url	date
97	162422	NA	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162422/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
98	162431	NA	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162431/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
99	162433	1336001	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162433/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
100	162425	1490092	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162425/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
101	162426	1392000	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162426/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
102	162427	1382117	111.68	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	4	3	http://www.foxterciaimobiliaria.com.br/imovel/162427/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-4-dormitorios-zona-norte	2019-07-29
103	162430	1360041	111.68	Mont Serrat	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162430/residencial-porto-alegre-mont-serrat-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
104	162441	1382000	154.37	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162441/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
105	162442	1507000	171.22	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	3	http://www.foxterciaimobiliaria.com.br/imovel/162442/residencial-porto-alegre-auxiliadora-apartamento-residencial-azevedo-castro-3-dormitorios-zona-norte	2019-07-29
106	173061	NA	154.11	Auxiliadora	Porto Alegre	Apartamento	Residencial	NA	NA	3	4	http://www.foxterciaimobiliaria.com.br/imovel/173061/residencial-porto-alegre-auxiliadora-apartamento-candido-58-3-dormitorios-zona-norte	2019-07-29
